user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase,age_group,pages_per_minute
1,56,Female,Desktop,12.9,8,13,1,1,0,0,6.97,28.18,1,Gen X / Middle Aged,0.62
2,46,Male,Mobile,15.63,9,4,6,1,1,1,19.17,86.73,1,Gen X / Middle Aged,0.58
3,32,Female,Unknown,11.64,12,11,0,0,0,1,8.87,83.09,1,Millennials / Young Adults,1.03
4,25,Female,Mobile,22.71,5,10,1,0,0,1,14.305,79.03,1,Gen Z / Youth,0.22
5,38,Female,Mobile,26.35,9,12,4,1,0,0,18.15,55.35,1,Millennials / Young Adults,0.34
6,56,Female,Desktop,26.6,1,12,7,1,1,0,28.4,13.9,1,Gen X / Middle Aged,0.04
7,36,Male,Mobile,7.6,11,11,6,1,1,1,4.51,13.12,1,Millennials / Young Adults,1.45
8,40,Female,Mobile,26.98,7,5,2,1,0,0,33.34,12.61,1,Millennials / Young Adults,0.26
9,28,Female,Mobile,10.9,14,7,9,0,0,1,13.8,85.46,1,Millennials / Young Adults,1.28
10,28,Female,Mobile,9.97,3,14,8,0,0,0,14.12,14.16,1,Millennials / Young Adults,0.3
11,41,Female,Tablet,22.08,11,14,4,1,1,0,23.43,80.85,1,Millennials / Young Adults,0.5
12,53,Female,Mobile,9.84,17,6,2,1,0,0,5.97,84.47,1,Gen X / Middle Aged,1.73
13,57,Male,Desktop,2.54,18,6,6,0,0,1,3.37,10.5,1,Gen X / Middle Aged,7.09
14,41,Male,Desktop,11.83,19,0,3,1,1,1,9.63,90.2,1,Millennials / Young Adults,1.61
15,20,Female,Desktop,21.92,18,2,0,1,0,0,30.68,89.75,1,Gen Z / Youth,0.82
16,39,Male,Mobile,10.48,6,2,4,0,1,0,15.49,63.82,1,Millennials / Young Adults,0.57
17,39,Male,Desktop,19.26,15,6,7,0,0,0,12.18,51.3,1,Millennials / Young Adults,0.78
18,41,Female,Mobile,20.14,7,11,3,1,0,0,11.74,64.73,1,Millennials / Young Adults,0.35
19,47,Female,Desktop,22.28,5,13,6,1,0,1,31.14,40.48,1,Gen X / Middle Aged,0.22
20,55,Female,Mobile,27.02,5,1,7,1,0,0,37.8,58.87,1,Gen X / Middle Aged,0.19
21,19,Male,Mobile,15.76,7,9,8,0,0,0,14.69,96.95,1,Gen Z / Youth,0.44
22,38,Female,Mobile,5.83,12,6,8,1,1,0,8.09,11.33,1,Millennials / Young Adults,2.06
23,50,Male,Desktop,10.25,8,8,4,0,0,0,14.66,23.38,1,Gen X / Middle Aged,0.78
24,29,Male,Mobile,13.53,18,0,5,1,0,1,14.28,52.41,1,Millennials / Young Adults,1.33
25,39,Male,Mobile,21.7,18,11,6,1,0,1,25.75,25.86,1,Millennials / Young Adults,0.83
26,42,Female,Mobile,1.38,17,13,9,0,0,1,1.54,99.28,1,Millennials / Young Adults,12.32
27,39,Male,Tablet,10.16,11,1,1,0,1,1,6.85,72.03,1,Millennials / Young Adults,1.08
28,59,Female,Desktop,23.62,15,10,8,1,0,0,22.11,43.4,1,Gen X / Middle Aged,0.64
29,45,Female,Mobile,20.45,6,5,0,0,1,1,24.16,90.27,1,Millennials / Young Adults,0.29
30,33,Female,Desktop,22.22,12,1,5,1,1,1,24.67,14.44,1,Millennials / Young Adults,0.54
